transaction_id,timestamp,amount,payment_method,error_code,root_cause,action_taken,max_retries_allowed,attempts_made,recovered,money_recovered,predicted_recovery_prob,escalated,escalation_reason,customer_message,idempotency_keys_used,backoff_schedule_seconds
txn_000272,2024-01-16 20:10:00,8560,card,bank_not_available,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.587,True,Escalate to ops / infra on-call (system may still be degraded),,"['6934fdeac5e228726de20fed', '896d59fe5d180949113f0612', '3ea5b7845d2c5d03b3383d21']","[5, 10, 20]"
txn_000273,2024-01-16 20:20:00,9337,netbanking,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,1,True,9337,0.405,False,,Payment failed: Customer has exceeded daily transaction limit. Please try again using UPI.,['b1d97c2e2773a33b0c2a5dae'],[]
txn_000274,2024-01-16 20:30:00,4993,wallet,payment_declined_due_to_high_traffic,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,1,True,4993,0.62,False,,,['8dd1a64f3ff76151c61ee7e0'],[5]
txn_000275,2024-01-16 20:40:00,9327,upi,incorrect_cvv,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.389,True,Prompt customer directly with a corrective message,Payment failed: Incorrect CVV entered. Please try again using card.,"['9022c81d15adbc982ece11f4', 'b38670a2edd33a38c12f3a5b']",[]
txn_000276,2024-01-16 20:50:00,6568,netbanking,otp_expired,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.469,True,Prompt customer directly with a corrective message,Payment failed: OTP has expired. Please try again using UPI.,"['4daa479cab5d4b83d5d66ad3', '02450ac9fb22b2ec9aa2a62b']",[]
txn_000277,2024-01-16 21:00:00,9022,upi,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,True,9022,0.399,False,,Payment failed: Customer has exceeded daily transaction limit. Please try again using card.,"['8e6e5261f8a0302937f138c4', 'd4690fc07b558919eb504388']",[]
txn_000278,2024-01-16 21:10:00,6446,wallet,incorrect_otp,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.442,True,Prompt customer directly with a corrective message,Payment failed: Customer entered incorrect OTP. Please try again using UPI.,"['4ba4d71f3cee8ac881b7e06f', 'ffbf2ca456ffedb99bd4527e']",[]
txn_000279,2024-01-16 21:20:00,4912,wallet,payment_failed,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.624,True,Escalate to ops / infra on-call (system may still be degraded),,"['cbde6285e277c557ed74264b', 'cfe5136420ffddc6d9f092e0', '2a3bf5004e9dd7373dac5a0a']","[5, 10, 20]"
txn_000280,2024-01-16 21:30:00,1715,netbanking,server_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,True,1715,0.719,False,,,"['4eedbdf80cd0c51f1b57f26c', '9114eca313d17a4b8a52f107', '8306c4b2020572f1cb7a630e']","[5, 10, 20]"
txn_000281,2024-01-16 21:40:00,7325,upi,otp_expired,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.438,True,Prompt customer directly with a corrective message,Payment failed: OTP has expired. Please try again using card.,"['23307348a0d38a424c81438c', 'd5fb331fac1ea41dcbe6992b']",[]
txn_000282,2024-01-16 21:50:00,9229,netbanking,gateway_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.558,True,Escalate to ops / infra on-call (system may still be degraded),,"['33a520e78bdc0a6720091520', '045aacc23953ab98c32c5878', '1ea5e2d8a4270910113db2e4']","[5, 10, 20]"
txn_000283,2024-01-16 22:00:00,2633,wallet,payment_declined_due_to_high_traffic,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,2,True,2633,0.675,False,,,"['eb7f9e1fe5dd60a380d02566', '9ba48f90d49497da8b6109c1']","[5, 10]"
txn_000284,2024-01-16 22:10:00,3529,card,otp_expired,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.563,True,Prompt customer directly with a corrective message,Payment failed: OTP has expired. Please try again using UPI.,"['b13af498fd9727f8919a685d', '9102d2b7f1909bece4af855a']",[]
txn_000285,2024-01-16 22:20:00,6546,wallet,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.442,True,Prompt customer directly with a corrective message,Payment failed: Customer has exceeded daily transaction limit. Please try again using UPI.,"['8734e28da6ed4cb3168cdc39', '5396585bfb4ca0dea9ac3c25']",[]
txn_000286,2024-01-16 22:30:00,6188,wallet,server_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,2,True,6188,0.598,False,,,"['6c53f46925080473b20896cd', '218248dfd4ffa654e08546e3']","[5, 10]"
txn_000287,2024-01-16 22:40:00,4846,netbanking,debit_instrument_blocked,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.515,True,Prompt customer directly with a corrective message,Payment failed: The card has been blocked by issuer or customer. Please try again using UPI.,"['1949ab9366a83fa2804f0857', '37f0d696ab42f9f69cabea8d']",[]
txn_000288,2024-01-16 22:50:00,2612,card,otp_expired,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.584,True,Prompt customer directly with a corrective message,Payment failed: OTP has expired. Please try again using UPI.,"['5ec66724f37996344d8a6957', '1f72be81eac8905e2c2272f5']",[]
txn_000289,2024-01-16 23:00:00,1474,card,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,1,True,1474,0.612,False,,Payment failed: Customer has exceeded daily transaction limit. Please try again using UPI.,['f5cb2039ceb0121a1f31d2ff'],[]
txn_000290,2024-01-16 23:10:00,6873,netbanking,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,1,True,6873,0.47,False,,Payment failed: Customer has exceeded daily transaction limit. Please try again using UPI.,['a3623903e8042d0aa9be3b06'],[]
txn_000291,2024-01-16 23:20:00,7751,upi,payment_timed_out,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,1,True,7751,0.433,False,,Payment failed: Customer did not complete within specified time. Please try again using card.,['50b9deb1c76f0d4ecc9f29b2'],[]
txn_000292,2024-01-16 23:30:00,7267,upi,incorrect_cvv,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,1,True,7267,0.444,False,,Payment failed: Incorrect CVV entered. Please try again using card.,['07552ae35df572ba65f31074'],[]
txn_000293,2024-01-16 23:40:00,4804,wallet,gateway_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,True,4804,0.631,False,,,"['be20e315974308c375f80488', '8f07de4ddc865fe7e5e34eeb', '9f17e8a02d84aac28b856683']","[5, 10, 20]"
txn_000294,2024-01-16 23:50:00,1153,wallet,payment_risk_check_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.571,True,Prompt customer directly with a corrective message,Payment failed: Payment declined due to risk checks. Please try again using UPI.,"['9ead9c132a3b5e39ca5f694d', 'c24c909c883b4d8ca4e7031c']",[]
txn_000295,2024-01-17 00:00:00,2210,wallet,insufficient_funds,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,True,2210,0.486,False,,Payment failed: Customer does not have sufficient funds. Please try again using UPI.,"['4fd789581980640920a0e45f', '0d23dd143770dd905a1110ec']",[]
txn_000296,2024-01-17 00:10:00,7951,netbanking,issuer_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.532,True,Escalate to ops / infra on-call (system may still be degraded),,"['ea9410338c78f2c1de2494c8', '1abfd17edc325dbfb8460618', '44a362c12a148519a4d6f09b']","[5, 10, 20]"
txn_000297,2024-01-17 00:20:00,7302,wallet,payment_failed,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.514,True,Escalate to ops / infra on-call (system may still be degraded),,"['642eaee98bc461044103c9cb', 'c1c4081eea3d0c82d8e376dc', '9be29f9f6702c36bf0b0aaba']","[5, 10, 20]"
txn_000298,2024-01-17 00:30:00,6881,netbanking,incorrect_cvv,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.41,True,Prompt customer directly with a corrective message,Payment failed: Incorrect CVV entered. Please try again using UPI.,"['14e66a0ad26d7e6d0eaee944', '04fa31217ed3aa85e527b467']",[]
txn_000299,2024-01-17 00:40:00,7484,netbanking,payment_risk_check_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.396,True,Prompt customer directly with a corrective message,Payment failed: Payment declined due to risk checks. Please try again using UPI.,"['1aaa017d9f3afe0a3b494af2', 'e0c76910ba68bd90baa1f7d5']",[]
txn_000300,2024-01-17 00:50:00,1803,wallet,payment_risk_check_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.495,True,Prompt customer directly with a corrective message,Payment failed: Payment declined due to risk checks. Please try again using UPI.,"['e588e8528cdd6c0f8f97f583', 'b2c582f65c8e6025cd2dda5d']",[]
txn_000418,2024-01-17 19:30:00,2257,card,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.584,True,Prompt customer directly with a corrective message,Payment failed: Customer has exceeded daily transaction limit. Please try again using UPI.,"['878a038239d3789dc09ea720', '7af28e5f01dac61b94102680']",[]
txn_000419,2024-01-17 19:40:00,1672,wallet,incorrect_cvv,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,True,1672,0.549,False,,Payment failed: Incorrect CVV entered. Please try again using UPI.,"['64b37939054f64756c1f16a3', 'b47ec40bfcf851a490656f65']",[]
txn_000420,2024-01-17 19:50:00,9214,upi,authentication_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,True,9214,0.389,False,,Payment failed: 3D secure or OTP authentication failed. Please try again using card.,"['439a5ca513fc454e3a212ee3', '5db6b2d12ff25dd543c42b5b']",[]
txn_000421,2024-01-17 20:00:00,2381,upi,incorrect_otp,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.551,True,Prompt customer directly with a corrective message,Payment failed: Customer entered incorrect OTP. Please try again using card.,"['4fa1f949f578dedf874eaa13', '97157ede7d0793f2817d2520']",[]
txn_000422,2024-01-17 20:10:00,8199,upi,authentication_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.415,True,Prompt customer directly with a corrective message,Payment failed: 3D secure or OTP authentication failed. Please try again using card.,"['1a02eabb42d2b3bec0637d90', '3d108617b33caf3d82d19e4f']",[]
txn_000423,2024-01-17 20:20:00,7347,wallet,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.418,True,Prompt customer directly with a corrective message,Payment failed: Customer has exceeded daily transaction limit. Please try again using UPI.,"['769b99844d9936b249136c90', '4c11d780235ebdfb470c251a']",[]
txn_000424,2024-01-17 20:30:00,6482,card,card_expired,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,1,True,6482,0.488,False,,Payment failed: The card has expired. Please try again using UPI.,['0a3ef9aac97b0ad61135b836'],[]
txn_000425,2024-01-17 20:40:00,7333,netbanking,payment_risk_check_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.451,True,Prompt customer directly with a corrective message,Payment failed: Payment declined due to risk checks. Please try again using UPI.,"['04567268187d605788b60d34', '9b4fa9e3f759822eb8cf83cb']",[]
txn_000426,2024-01-17 20:50:00,3463,netbanking,payment_risk_check_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.543,True,Prompt customer directly with a corrective message,Payment failed: Payment declined due to risk checks. Please try again using UPI.,"['5ae1152253d65cb5d9387791', '5bfdac8e66a8d8d95640292e']",[]
txn_000427,2024-01-17 21:00:00,6731,netbanking,insufficient_funds,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.468,True,Prompt customer directly with a corrective message,Payment failed: Customer does not have sufficient funds. Please try again using UPI.,"['dc349bfe963a0bf04682d86d', '262f35bc60dff221d4fdb940']",[]
txn_000428,2024-01-17 21:10:00,6072,wallet,debit_instrument_blocked,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.45,True,Prompt customer directly with a corrective message,Payment failed: The card has been blocked by issuer or customer. Please try again using UPI.,"['98672d6a09b02e1540c936b4', '2aa635d64a258cdad901ebf2']",[]
txn_000429,2024-01-17 21:20:00,7937,netbanking,bank_not_available,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,2,True,7937,0.588,False,,,"['09fc2e5083186a401bac7408', 'fd500340e4d2d41932076015']","[5, 10]"
txn_000430,2024-01-17 21:30:00,4509,netbanking,insufficient_funds,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.521,True,Prompt customer directly with a corrective message,Payment failed: Customer does not have sufficient funds. Please try again using UPI.,"['5b6d34946985f804e4d9548f', '8b5b97181942755cae05611e']",[]
txn_000431,2024-01-17 21:40:00,3538,card,insufficient_funds,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.56,True,Prompt customer directly with a corrective message,Payment failed: Customer does not have sufficient funds. Please try again using UPI.,"['5296fdab71d27cf825e917c4', 'c58cf8c760bdc08e709ce8c2']",[]
txn_000432,2024-01-17 21:50:00,9317,card,bank_not_available,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.572,True,Escalate to ops / infra on-call (system may still be degraded),,"['3db58dc455faf4bb8258c806', '4410397ca5a11316f72fe28c', '6d5d12af5a0af7492c80e3cb']","[5, 10, 20]"
txn_000433,2024-01-17 22:00:00,7172,upi,gateway_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,2,True,7172,0.592,False,,,"['3fa3e2bfe2f9b197ed8db213', '37369030b9e3ca6b8c1ee42d']","[5, 10]"
txn_000434,2024-01-17 22:10:00,3712,wallet,incorrect_cvv,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,1,True,3712,0.509,False,,Payment failed: Incorrect CVV entered. Please try again using UPI.,['fcb0c3e4f1c8c3afbd3a6fde'],[]
txn_000435,2024-01-17 22:20:00,4891,wallet,payment_risk_check_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,True,4891,0.481,False,,Payment failed: Payment declined due to risk checks. Please try again using UPI.,"['76009e2249533dbf1c9c0ae0', '3b58b64940ff37f6eaa71f2f']",[]
txn_000436,2024-01-17 22:30:00,4833,upi,authentication_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.499,True,Prompt customer directly with a corrective message,Payment failed: 3D secure or OTP authentication failed. Please try again using card.,"['1938376d28b0bcddb0cff0d9', '7bea2d43c68680ab0689efa9']",[]
txn_000437,2024-01-17 22:40:00,4178,netbanking,payment_declined_due_to_high_traffic,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,2,True,4178,0.673,False,,,"['a3b7b0b9e310b1c1b3c33f0f', '84cfb420c1ee2ed36a1f059e']","[5, 10]"
txn_000438,2024-01-17 22:50:00,7256,wallet,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,1,True,7256,0.426,False,,Payment failed: Customer has exceeded daily transaction limit. Please try again using UPI.,['edda6e52aab09af6fa103caf'],[]
txn_000439,2024-01-17 23:00:00,5096,card,gateway_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,True,5096,0.671,False,,,"['8f77fcaed9ce95ec8079b66d', 'b86c951bc788cf2a000b10d7', 'ad25e3ca341e01e3a4efb569']","[5, 10, 20]"
txn_000440,2024-01-17 23:10:00,9452,card,bank_not_available,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.574,True,Escalate to ops / infra on-call (system may still be degraded),,"['3ad9355fc5a82d04e45a0cc7', 'b7c4e27f13f632430b283385', 'c39842cd70f1cee6a7afbe46']","[5, 10, 20]"
txn_000441,2024-01-17 23:20:00,5469,wallet,insufficient_funds,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.47,True,Prompt customer directly with a corrective message,Payment failed: Customer does not have sufficient funds. Please try again using UPI.,"['fe37235da350c9475a8ccc54', '1fa80d38f4b783cc38ca3b35']",[]
txn_000442,2024-01-17 23:30:00,2502,upi,otp_expired,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.556,True,Prompt customer directly with a corrective message,Payment failed: OTP has expired. Please try again using card.,"['09427dd88d948790c9ac1aa0', 'd0d946bdbe59ab57e179f26e']",[]
txn_000443,2024-01-17 23:40:00,7797,card,bank_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,1,True,7797,0.612,False,,,['30b41bc5a8760c433b82c515'],[5]
txn_000444,2024-01-17 23:50:00,7326,card,transaction_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.476,True,Prompt customer directly with a corrective message,Payment failed: Customer has exceeded credit/debit limit on card. Please try again using UPI.,"['74f05e5417ed4e82190177a5', '2c08497fe95a181ac00f19e7']",[]
txn_000445,2024-01-18 00:00:00,2623,netbanking,incorrect_otp,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.509,True,Prompt customer directly with a corrective message,Payment failed: Customer entered incorrect OTP. Please try again using UPI.,"['0c97d37f05ce1b1ec0cfe5a6', '675bcae7f35c595a58f6cb32']",[]
txn_000446,2024-01-18 00:10:00,8740,upi,transaction_daily_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.353,True,Prompt customer directly with a corrective message,Payment failed: Customer has exceeded daily transaction limit. Please try again using card.,"['b958dda8c3dc516d074facea', 'c2fdd1865a1140148188f6f2']",[]
txn_000447,2024-01-18 00:20:00,2298,card,card_expired,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,1,True,2298,0.534,False,,Payment failed: The card has expired. Please try again using UPI.,['7664155fb2c3c45bd1e68576'],[]
txn_000448,2024-01-18 00:30:00,9991,wallet,insufficient_funds,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.312,True,Prompt customer directly with a corrective message,Payment failed: Customer does not have sufficient funds. Please try again using UPI.,"['43a9d7f57d20e9dbb893e477', 'c2903608aef3cb00b93b5260']",[]
txn_000449,2024-01-18 00:40:00,5934,card,transaction_limit_exceeded,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.448,True,Prompt customer directly with a corrective message,Payment failed: Customer has exceeded credit/debit limit on card. Please try again using UPI.,"['ac4fd437ca2a86a9df087f4f', '62ceac5123dd74516430e0f9']",[]
txn_000450,2024-01-18 00:50:00,8489,card,payment_risk_check_failed,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,True,8489,0.389,False,,Payment failed: Payment declined due to risk checks. Please try again using UPI.,"['8eb433509fd8dfbd9db1f597', '5abd33a18fa13fb8989353c4']",[]
txn_000571,2024-01-18 20:00:00,9221,wallet,server_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.522,True,Escalate to ops / infra on-call (system may still be degraded),,"['5a1dee13ea01d2b9a47e371a', '02c3724d765d1a7398776012', 'fb03db4aa8aae133fdb86568']","[5, 10, 20]"
txn_000572,2024-01-18 20:10:00,6325,wallet,payment_failed,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.59,True,Escalate to ops / infra on-call (system may still be degraded),,"['06c2c23e0351b8833a30f888', '66a022523bb06016f2408d8b', '101ec8ebf2ec27000b90d130']","[5, 10, 20]"
txn_000573,2024-01-18 20:20:00,8531,netbanking,gateway_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,True,8531,0.571,False,,,"['40442bd47d0e155629d10a84', '3e23fe07015ba158cea09ca8', '0a5611cf2ef6cdbc9701f106']","[5, 10, 20]"
txn_000574,2024-01-18 20:30:00,8932,upi,issuer_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,1,True,8932,0.546,False,,,['af0ba91a24b156e2acdfb121'],[5]
txn_000575,2024-01-18 20:40:00,4684,netbanking,issuer_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,1,True,4684,0.657,False,,,['ec6bd705ed71054ff1ce05ff'],[5]
txn_000576,2024-01-18 20:50:00,6194,wallet,payment_declined_due_to_high_traffic,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,2,True,6194,0.593,False,,,"['9b27b86b0c0e837d9a37271f', 'e6434d6271a0385eb7bfc3eb']","[5, 10]"
txn_000577,2024-01-18 21:00:00,5715,card,issuer_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.653,True,Escalate to ops / infra on-call (system may still be degraded),,"['105d9bd7b2e0d1083ec6978b', 'b844f0d6a9a2cdc07cae410a', '037acc36d9be9b275a32fe9a']","[5, 10, 20]"
txn_000578,2024-01-18 21:10:00,6654,upi,server_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,1,True,6654,0.601,False,,,['a0728e5c5bb9102761ae1ecf'],[5]
txn_000579,2024-01-18 21:20:00,6674,wallet,bank_not_available,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.584,True,Escalate to ops / infra on-call (system may still be degraded),,"['5f689bc727b0ccf93f0475f5', 'ab3f3a88e9060f0170ae2d55', 'f3f9cd51c9aca7f170b50a79']","[5, 10, 20]"
txn_000580,2024-01-18 21:30:00,4310,netbanking,payment_failed,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,2,True,4310,0.667,False,,,"['252f6adc918e07a06c3a4abd', '96cd795573b55901ee78a48b']","[5, 10]"
txn_000581,2024-01-18 21:40:00,4972,card,payment_failed,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.668,True,Escalate to ops / infra on-call (system may still be degraded),,"['3cf4fab4f34aa01c58bb7c58', 'e42c9669ef9f749fa2d771c2', 'a2598abb4ca7ee11ec241f48']","[5, 10, 20]"
txn_000582,2024-01-18 21:50:00,1860,card,payment_failed,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,1,True,1860,0.73,False,,,['52da5780c34f10c2d074da32'],[5]
txn_000583,2024-01-18 22:00:00,2647,upi,payment_declined_due_to_high_traffic,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,3,False,0,0.689,True,Escalate to ops / infra on-call (system may still be degraded),,"['f95d30d0db83fede096517f7', '5a9ef293704f4cd95c84fdf4', 'b402d804141666dc1c7cca3d']","[5, 10, 20]"
txn_000584,2024-01-18 22:10:00,7666,wallet,insufficient_funds,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,False,0,0.416,True,Prompt customer directly with a corrective message,Payment failed: Customer does not have sufficient funds. Please try again using UPI.,"['2ac4726d2d80efb0359e5196', '23f0024134c82cc606b177e8']",[]
txn_000585,2024-01-18 22:20:00,6262,netbanking,issuer_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,1,True,6262,0.628,False,,,['3d418f26b131de8f77951128'],[5]
txn_000586,2024-01-18 22:30:00,4804,card,debit_instrument_blocked,CUSTOMER_SIDE,RETRY_ALTERNATE_METHOD,2,2,True,4804,0.533,False,,Payment failed: The card has been blocked by issuer or customer. Please try again using UPI.,"['6cf570d1addbd552f57ce9fe', '0b25aa2ea8077402987407a3']",[]
txn_000587,2024-01-18 22:40:00,1595,wallet,gateway_technical_error,SYSTEM_SIDE,EXPONENTIAL_BACKOFF,3,2,True,1595,0.696,False,,,"['2e362ea3e1cdd8d6f17ca753', '9fa4c373daaf5b23d3c5cd43']","[5, 10]"
